"variable","importance","ID","K.sce","I.sce","N.sce"
"Cln",0.0112616921666694,18,0.05,1,1
"Cnn",0.00635020054874079,18,0.05,1,1
"Can",0.00732663203571623,18,0.05,1,1
"Cla",0.0112423899872846,18,0.05,1,1
"Cna",0.00552790163864937,18,0.05,1,1
"Caa",0.00803902947724425,18,0.05,1,1
"Cs",0.133776612608447,18,0.05,1,1
"Nlh",0.0136870022892161,18,0.05,1,1
"Nnh",0.00665488989486772,18,0.05,1,1
"Nah",0.00702818257777325,18,0.05,1,1
"Dl",0.00996373293299601,18,0.05,1,1
"Dn",0.00854906504408301,18,0.05,1,1
"Da",0.00808854337895262,18,0.05,1,1
"Hcn",0.116236292578033,18,0.05,1,1
"Hcs",0.0630767484415897,18,0.05,1,1
"I",0.0174488029961256,18,0.05,1,1
"theta",0.00783384503979336,18,0.05,1,1
"Pl",0.0102458743320024,18,0.05,1,1
"Pn",0.00705048064699044,18,0.05,1,1
"Pa",0.00754131015051665,18,0.05,1,1
"Ql",0.0237805406505081,18,0.05,1,1
"Qn",0.01203450672951,18,0.05,1,1
"Qa",0.0056557656386125,18,0.05,1,1
"Ra",0.0772621975066029,18,0.05,1,1
"E",0.0360535802803077,19,0.05,1,1
"Sl",0.0229983278190369,19,0.05,1,1
"Sn",0.0555203893666933,19,0.05,1,1
"Sa",0.0320935745733654,19,0.05,1,1
"Cll",0.00882485869521305,19,0.05,1,1
"Cnl",0.00684602429143359,19,0.05,1,1
"Cal",0.00725912559541487,19,0.05,1,1
"Cln",0.00850169377896846,19,0.05,1,1
"Cnn",0.00620864917619058,19,0.05,1,1
"Can",0.00603716306257281,19,0.05,1,1
"Cla",0.00905251763130813,19,0.05,1,1
"Cna",0.00717513442025241,19,0.05,1,1
"Caa",0.00616825876493926,19,0.05,1,1
"Cs",0.0993924993785434,19,0.05,1,1
"Nlh",0.00669970398817605,19,0.05,1,1
"Nnh",0.00637171268519217,19,0.05,1,1
"Nah",0.0059878939999561,19,0.05,1,1
"Dl",0.00821244798964028,19,0.05,1,1
"Dn",0.00682328621163028,19,0.05,1,1
"Da",0.0062202221462403,19,0.05,1,1
